@relation 'high_csv-weka.filters.unsupervised.attribute.Remove-R1-3,19-22-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R5-6-weka.filters.unsupervised.attribute.Remove-R2-3'

@attribute price numeric
@attribute sqft_living numeric
@attribute waterfront numeric
@attribute view numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute zipcode numeric

@data
650000,1410,0,2,4,6,1230,180,98033
650000,1930,0,0,4,8,1930,0,98122
650000,3270,0,0,3,9,2110,1160,98074
650000,1910,0,0,3,8,1300,610,98199
650000,2440,0,0,4,7,1880,560,98007
650000,1030,0,0,5,8,1030,0,98116
650000,2160,0,2,4,8,1400,760,98177
650000,1970,0,0,3,8,1570,400,98075
650000,2580,0,0,4,8,1480,1100,98007
650000,2400,0,0,3,8,1900,500,98103
650000,1260,0,0,3,7,1260,0,98119
650000,2790,0,0,3,8,2790,0,98075
650000,1840,0,0,5,7,920,920,98103
650000,920,0,0,4,7,920,0,98004
650000,2160,0,0,3,7,1080,1080,98103
650000,2140,0,0,3,7,1290,850,98004
650000,1740,0,2,3,8,1210,530,98112
650000,3060,0,2,3,9,3060,0,98065
650000,2100,0,0,3,8,2100,0,98115
650000,2120,0,0,3,7,1060,1060,98199
650000,3720,0,0,3,9,1880,1840,98014
650000,2840,0,0,3,10,2840,0,98074
650000,2400,0,0,3,9,2400,0,98029
650000,2240,0,0,4,8,1490,750,98005
650000,1900,0,0,5,7,1500,400,98144
650000,1790,0,2,4,7,1240,550,98075
650000,1050,0,0,3,7,880,170,98122
650000,2380,0,0,3,9,2380,0,98034
650000,2430,0,0,3,9,2430,0,98011
650000,1380,0,0,5,7,1380,0,98040
650000,2860,0,0,3,8,2860,0,98028
650000,2800,1,4,3,8,1400,1400,98198
650000,3420,0,0,3,9,3420,0,98010
650000,1940,0,0,3,7,1940,0,98040
650000,2500,0,0,3,9,2500,0,98033
650000,920,0,0,3,6,920,0,98070
650000,3900,0,0,3,8,2870,1030,98052
650000,1910,0,0,3,7,1010,900,98112
650000,1280,0,0,3,7,1280,0,98112
650000,1550,0,0,3,7,1250,300,98107
650000,1840,0,2,4,8,1140,700,98109
650000,2560,0,0,4,7,2560,0,98034
650000,2920,0,0,4,8,1620,1300,98006
650000,2820,0,0,4,9,2820,0,98052
650000,2300,0,0,4,8,1150,1150,98199
650000,2320,0,0,3,8,2320,0,98075
650000,1820,0,1,3,7,1640,180,98115
650000,1900,0,0,4,7,1180,720,98004
650000,1910,0,0,4,7,1420,490,98117
650000,3990,0,0,3,9,2820,1170,98011
650000,2110,0,0,5,7,1530,580,98115
650000,2580,0,0,4,8,1660,920,98125
650000,1520,0,0,4,6,1520,0,98004
650000,2290,0,0,3,8,2290,0,98008
650000,2630,0,0,3,8,2630,0,98053
650000,2640,0,0,4,7,1500,1140,98008
650000,2020,0,0,4,9,1620,400,98005
650000,3480,0,0,4,8,2490,990,98075
650000,1430,0,0,3,7,1430,0,98103
650000,3610,0,0,4,7,3010,600,98006
650000,2480,0,0,3,7,1380,1100,98119
650000,2350,0,0,3,7,1740,610,98117
650000,1440,0,0,4,8,1140,300,98072
650000,2960,0,0,3,8,1790,1170,98103
650000,2770,0,0,3,7,2770,0,98053
650000,3260,0,0,3,9,3260,0,98065
650000,1610,0,0,4,8,1610,0,98004
650000,2610,0,0,5,8,1910,700,98103
650000,2180,0,0,3,8,2180,0,98053
650000,2330,0,0,4,8,1320,1010,98118
650000,2620,0,0,4,8,2620,0,98052
650000,1450,0,0,4,7,1350,100,98105
650000,2660,0,2,4,8,1530,1130,98024
650000,2850,0,1,3,7,1730,1120,98144
650000,2220,0,0,4,8,1660,560,98115
650000,2180,0,0,3,9,2180,0,98077
650000,2400,0,0,5,7,1200,1200,98008
650000,2390,0,0,3,8,1470,920,98052
650000,1320,0,0,3,8,1320,0,98004
650000,2900,0,2,4,7,1870,1030,98008
650000,3700,0,0,3,9,3700,0,98028
650000,2500,0,0,3,9,1510,990,98027
650000,1480,0,0,3,8,1480,0,98103
650000,1494,0,0,3,8,1494,0,98115
650000,1910,0,0,3,9,1910,0,98029
650000,3160,0,0,3,9,3160,0,98059
650000,1540,0,0,3,8,1230,310,98102
650000,2870,0,0,3,9,2870,0,98011
650000,1470,0,3,3,8,1470,0,98103
650000,2210,0,0,3,9,2210,0,98117
650100,1750,0,0,4,7,1180,570,98075
650500,1740,0,0,3,8,1740,0,98122
650500,2340,0,0,3,8,1290,1050,98115
650500,3920,0,0,3,7,3920,0,98006
650880,2930,0,0,3,9,2930,0,98065
651000,1940,0,2,5,7,970,970,98116
651000,2740,0,0,3,8,2740,0,98074
651000,3240,0,0,4,10,3240,0,98042
651000,1890,0,0,5,7,1890,0,98105
651000,2260,0,0,3,8,1660,600,98122
651100,2310,0,0,3,9,2310,0,98074
651500,1500,0,0,5,7,1420,80,98103
652000,1700,0,0,4,7,850,850,98117
652000,2130,0,0,5,7,1330,800,98107
652000,1920,0,0,4,8,1560,360,98052
652000,1470,0,0,3,8,1200,270,98199
652100,2380,0,0,3,9,2380,0,98074
652427,2770,0,0,4,8,2770,0,98074
652450,2230,0,0,5,8,1630,600,98006
652500,2220,0,0,3,8,2220,0,98027
652500,3130,0,0,3,7,3130,0,98133
652500,2700,0,0,3,9,2700,0,98029
652500,2540,0,0,3,9,2540,0,98053
652600,2220,0,0,3,8,2220,0,98117
653000,2680,0,0,4,8,1610,1070,98034
653000,3040,0,2,3,10,3040,0,98118
653000,2680,0,0,4,9,1880,800,98038
653000,2290,0,0,3,9,2290,0,98029
653000,2800,0,0,4,8,1420,1380,98006
653000,2160,0,0,4,9,2160,0,98029
653000,1290,0,0,4,7,1050,240,98115
653000,2770,0,0,3,8,2770,0,98072
653000,3120,0,0,3,7,3120,0,98053
653450,2070,0,0,4,8,1540,530,98075
653500,1680,0,0,3,8,1120,560,98102
653675,2280,0,0,4,8,2280,0,98027
653750,2460,0,0,3,9,2460,0,98034
654000,3240,0,0,3,7,3240,0,98045
654000,2240,0,0,3,8,1540,700,98115
654000,2570,0,0,4,7,1320,1250,98199
654000,2960,0,0,4,8,1640,1320,98008
654000,1530,0,0,3,8,1280,250,98122
654000,2220,0,0,3,10,2010,210,98027
654300,2490,0,0,3,9,2490,0,98074
654500,1780,0,0,3,8,1780,0,98115
654950,2790,0,0,3,9,2790,0,98077
655000,1450,1,4,3,7,1230,220,98166
655000,2630,0,0,3,8,2630,0,98117
655000,1270,0,0,3,7,1270,0,98119
655000,2320,0,0,3,8,2320,0,98075
655000,2200,0,0,4,8,1430,770,98006
655000,1410,0,0,4,8,1410,0,98118
655000,2570,0,0,3,9,2570,0,98034
655000,2850,0,0,3,7,2850,0,98033
655000,1800,0,0,3,7,1170,630,98199
655000,2560,0,0,3,8,2560,0,98019
655000,3690,0,0,5,9,3690,0,98155
655000,2060,0,0,3,8,1440,620,98006
655000,1370,0,0,3,7,1070,300,98109
655000,2990,0,0,3,8,2990,0,98074
655000,1820,0,0,5,7,1120,700,98105
655000,3340,0,0,4,8,2060,1280,98077
655000,3420,0,0,3,9,3420,0,98010
655000,2420,0,0,4,8,1890,530,98052
655000,3500,0,2,3,9,3500,0,98065
655000,2370,0,0,3,9,2370,0,98056
655000,2170,0,0,3,7,1920,250,98122
655000,2890,0,0,4,9,2890,0,98077
655000,3110,0,0,3,9,3110,0,98059
655000,2540,0,3,3,8,1320,1220,98116
655000,2370,0,0,3,9,1630,740,98074
655000,1960,0,0,4,7,1080,880,98199
655000,2860,0,0,3,10,2860,0,98075
655000,2570,0,0,4,8,1370,1200,98052
655000,2350,0,3,3,8,1670,680,98033
655000,3160,0,0,3,8,1580,1580,98115
655000,1660,0,0,4,7,830,830,98117
655000,1460,0,0,3,9,1180,280,98119
655100,1220,0,0,3,7,1220,0,98115
655275,2050,0,0,3,7,1460,590,98006
655500,2380,0,0,3,8,1680,700,98007
655500,3380,0,0,3,8,3380,0,98177
656000,1480,0,0,3,8,1480,0,98115
656000,2270,0,0,3,7,1820,450,98052
656000,1440,0,0,4,8,1290,150,98117
656500,2710,0,0,4,7,1460,1250,98115
657000,2180,0,0,4,7,1420,760,98117
657000,2530,0,0,4,7,1290,1240,98008
657000,2740,0,2,3,8,1370,1370,98118
657000,2640,0,0,4,8,2640,0,98056
657000,3060,0,0,3,9,1810,1250,98074
657000,1570,0,0,3,8,1570,0,98107
657044,3420,0,0,3,9,3420,0,98059
657100,1390,0,0,3,7,1050,340,98103
657500,1620,0,3,4,7,1380,240,98117
657500,2520,0,0,3,9,2520,0,98074
657500,980,0,0,4,6,980,0,98033
657500,2320,0,0,3,7,1510,810,98005
657500,1910,0,0,3,7,1610,300,98105
657500,2670,0,0,3,9,2670,0,98074
657500,4140,0,0,3,11,4140,0,98092
658000,1290,0,0,4,7,1290,0,98033
658000,1660,0,0,3,7,1660,0,98109
658000,1010,1,4,1,5,1010,0,98136
658000,3310,0,0,3,9,3310,0,98065
658100,2430,0,0,3,9,2430,0,98029
658500,1900,0,0,3,7,1400,500,98199
658500,1410,0,0,3,8,1410,0,98103
658588,2560,0,0,3,10,2560,0,98027
658600,1400,0,0,4,7,1400,0,98117
659000,2610,0,0,3,8,2610,0,98075
659000,1980,0,0,3,8,1980,0,98072
659000,2090,0,0,4,7,2090,0,98040
659000,2510,0,0,3,9,2510,0,98075
659000,3190,0,0,5,8,2210,980,98125
659000,2350,0,0,3,8,2350,0,98005
659000,1540,0,0,3,8,1540,0,98122
659000,1450,0,0,3,9,1110,340,98107
659000,1180,0,0,3,10,780,400,98102
659000,3090,0,0,3,8,3090,0,98019
659500,2620,0,0,4,8,1870,750,98006
659500,1820,0,0,4,8,1620,200,98115
659950,1610,0,1,3,9,1080,530,98119
659950,3550,0,0,3,9,3550,0,98059
659950,3510,0,0,3,9,3510,0,98059
659950,3010,0,0,3,9,3010,0,98133
659950,2990,0,0,3,10,2990,0,98028
660000,2400,0,2,3,8,1560,840,98177
660000,2680,0,0,3,9,2680,0,98077
660000,3030,0,0,5,8,3030,0,98029
660000,2260,0,0,3,8,1660,600,98122
660000,1870,0,0,3,8,1620,250,98005
660000,2780,0,0,4,10,2780,0,98074
660000,1240,0,0,4,7,1240,0,98103
660000,1070,0,0,3,7,1070,0,98103
660000,2550,0,0,5,7,1860,690,98115
660000,2540,0,0,4,7,1510,1030,98115
660000,2675,0,0,3,8,2675,0,98075
660000,960,0,1,4,6,960,0,98033
660000,2880,0,0,4,7,2080,800,98117
660000,3740,0,0,4,9,3740,0,98074
660000,2330,0,0,3,9,2330,0,98029
660000,2510,0,0,3,8,2510,0,98075
660000,2740,0,0,3,9,2190,550,98034
660000,1670,0,0,3,7,1670,0,98033
660000,1750,0,1,4,8,1750,0,98117
660000,2290,0,0,4,9,2290,0,98102
660000,2010,0,0,4,8,2010,0,98005
660000,3170,0,0,3,9,3170,0,98038
660000,1140,0,0,3,7,1140,0,98109
660000,1960,0,2,3,7,1960,0,98117
660000,2570,0,0,3,9,1970,600,98052
660000,1840,0,0,3,7,1060,780,98122
660000,2210,0,0,3,8,2210,0,98053
660000,2590,0,0,3,9,2590,0,98029
660000,2080,0,0,5,7,1040,1040,98116
660000,2550,0,0,3,8,1290,1260,98007
660000,2470,0,0,3,9,2290,180,98074
660000,1980,0,0,4,7,1140,840,98115
660000,2650,0,0,3,9,2650,0,98155
660000,1770,0,0,3,8,1770,0,98122
660000,2290,0,0,4,8,2290,0,98006
660000,1700,0,0,4,7,1300,400,98033
660000,2340,0,0,5,8,2160,180,98103
660000,1770,0,0,5,8,1770,0,98177
660000,2030,0,2,4,7,2030,0,98008
660000,1320,0,0,5,7,1320,0,98116
660000,1210,0,1,3,8,1210,0,98006
660000,2280,0,2,3,8,2280,0,98136
660000,1980,0,0,3,7,1980,0,98103
660000,3600,0,0,4,8,3600,0,98014
660000,3180,0,0,3,9,3180,0,98074
660000,2920,0,0,4,7,1860,1060,98105
660000,2390,0,0,3,9,2390,0,98011
660000,1570,0,0,3,8,1570,0,98103
660000,3160,0,0,3,9,3160,0,98011
660000,1780,0,0,3,8,1080,700,98103
660000,3400,0,0,3,9,3400,0,98065
660000,2450,0,0,3,8,2450,0,98053
660500,2010,0,0,3,8,1440,570,98027
660500,2950,0,0,5,7,1720,1230,98144
661000,2496,0,0,3,9,2496,0,98052
661000,1990,0,2,4,8,1420,570,98126
661000,1940,0,0,3,8,1940,0,98052
661000,1670,0,0,5,8,1670,0,98052
661000,1260,0,0,4,7,1260,0,98199
661000,1820,0,0,4,8,1820,0,98033
661000,1750,0,0,4,8,1750,0,98072
661000,2600,0,0,3,8,2150,450,98027
661254,2290,0,0,5,7,1690,600,98116
661500,2500,0,0,4,7,1490,1010,98052
662000,2500,0,0,3,9,2500,0,98052
662500,3560,0,0,3,8,1860,1700,98007
662500,2450,0,2,3,7,1340,1110,98008
662500,2070,0,0,4,7,1670,400,98103
662700,2440,0,0,3,7,1590,850,98118
662990,1240,0,0,5,7,1240,0,98116
663000,2480,1,3,4,8,2480,0,98070
663000,3570,0,0,3,7,3570,0,98075
663000,2840,0,0,3,7,1580,1260,98075
663000,1480,0,0,5,7,860,620,98117
663000,1910,0,0,3,9,1910,0,98029
663500,1310,0,0,3,7,910,400,98115
664000,2510,0,0,5,8,1630,880,98006
664000,1530,0,0,4,7,1530,0,98105
664000,3190,0,0,4,8,3190,0,98052
664000,1870,0,0,5,8,1250,620,98033
664000,2390,0,0,3,9,2390,0,98074
664000,1720,0,0,3,6,860,860,98118
664500,3070,0,0,3,8,2740,330,98011
664950,1180,0,0,3,10,780,400,98102
664950,3190,0,2,3,9,1890,1300,98178
665000,1110,0,0,3,7,1110,0,98119
665000,3320,0,0,5,8,2220,1100,98056
665000,1800,0,0,3,8,1800,0,98008
665000,2630,0,0,3,9,2630,0,98027
665000,2080,0,2,5,8,1220,860,98177
665000,4250,0,0,4,7,3020,1230,98118
665000,2480,0,2,3,8,2480,0,98059
665000,1740,0,0,3,8,1740,0,98045
665000,2160,0,0,5,7,1320,840,98122
665000,2330,0,0,4,7,1550,780,98052
665000,2840,0,0,5,8,1420,1420,98118
665000,1730,0,0,3,8,1730,0,98103
665000,2720,0,0,3,10,2720,0,98074
665000,2970,0,0,3,8,2970,0,98072
665000,2190,0,0,3,9,2190,0,98074
665000,1260,0,2,4,7,1260,0,98136
665000,2700,0,2,3,8,1560,1140,98144
665000,3770,0,0,3,9,3770,0,98010
665000,2650,0,0,4,8,1610,1040,98006
665000,2800,0,0,3,8,1660,1140,98115
665000,3320,0,0,3,9,3320,0,98045
665000,3580,0,0,3,9,3580,0,98038
665000,2670,0,0,4,7,1800,870,98105
665000,2280,0,0,5,7,1470,810,98115
665000,2600,0,0,5,8,1300,1300,98126
665000,2580,0,0,3,8,1780,800,98144
665000,3136,0,0,5,8,3136,0,98070
665000,2340,0,0,5,8,1700,640,98008
665000,2610,0,0,3,10,2610,0,98072
665000,3130,0,0,3,8,3130,0,98075
665000,1940,0,0,5,7,1150,790,98107
665000,1930,0,0,5,7,1490,440,98105
665000,2330,0,2,3,10,2330,0,98074
665000,2420,0,0,5,7,1670,750,98177
665000,2800,0,0,4,8,1400,1400,98033
665000,1620,0,0,5,8,1620,0,98115
665000,2510,0,0,3,9,2510,0,98075
665000,2600,0,0,3,9,2600,0,98059
665000,2790,0,0,4,9,2790,0,98077
665000,1615,0,0,5,8,1615,0,98103
665000,2480,0,0,3,8,2480,0,98007
665000,2300,0,0,3,8,2300,0,98053
665000,1800,0,0,4,7,1320,480,98006
665000,1650,0,0,4,8,1300,350,98199
665000,2650,0,0,3,8,2230,420,98027
665000,2460,0,0,3,8,1900,560,98155
665000,1590,0,0,3,9,1060,530,98122
665900,2870,0,1,4,8,2220,650,98146
666000,2780,0,0,3,8,2780,0,98053
666000,3000,0,0,4,7,2110,890,98144
666000,2140,0,0,3,8,1770,370,98052
666500,2860,0,0,3,9,2860,0,98074
666570,2320,0,0,5,7,1620,700,98118
667000,1400,0,0,5,8,1400,0,98112
667000,1720,0,0,3,8,1720,0,98107
667000,2216,0,0,3,9,2216,0,98092
667000,2560,0,0,4,8,1870,690,98008
667000,1770,0,0,3,8,1300,470,98117
667000,1900,0,0,3,7,1180,720,98105
667000,3320,0,3,4,8,2260,1060,98022
667000,1370,0,0,3,8,1370,0,98103
667000,2510,0,0,3,8,2510,0,98052
667400,2660,0,0,4,8,2660,0,98072
667500,1920,0,0,4,8,1540,380,98116
667500,2130,0,0,3,9,2130,0,98004
667500,2040,0,0,4,7,1020,1020,98115
667500,1880,0,0,5,7,1030,850,98115
667750,1430,0,0,3,7,1430,0,98105
668000,3990,0,0,3,9,2710,1280,98027
668000,2670,0,0,3,8,2670,0,98075
668500,2710,0,0,3,9,2710,0,98074
668500,2290,0,0,4,8,1780,510,98006
668750,2340,0,2,3,8,1590,750,98177
669000,1950,0,3,4,6,1160,790,98166
669000,2700,0,0,5,8,2700,0,98077
669000,1560,0,0,5,7,1560,0,98112
669000,2470,0,0,3,8,2470,0,98053
669000,1640,0,0,3,10,1640,0,98118
669500,2500,0,0,4,7,1520,980,98117
669888,2550,0,0,3,9,2550,0,98059
669950,2820,0,0,4,7,2380,440,98034
669950,2670,0,0,3,9,2670,0,98074
669950,2330,0,0,3,8,1950,380,98027
670000,3020,0,0,4,8,1540,1480,98052
670000,2500,0,0,4,7,1460,1040,98103
670000,4050,0,0,4,8,2620,1430,98027
670000,2980,0,0,3,9,2980,0,98029
670000,1490,0,0,4,7,1490,0,98122
670000,2250,0,0,3,7,1650,600,98122
670000,1850,0,0,3,8,1850,0,98177
670000,2095,0,0,3,9,2095,0,98052
670000,2570,0,0,3,9,2570,0,98074
670000,1420,0,0,3,9,1280,140,98102
670000,1680,0,0,3,9,1680,0,98105
670000,2110,0,0,4,7,2110,0,98033
670000,2850,0,0,4,9,2850,0,98056
670000,2160,0,0,4,8,1260,900,98136
670000,1280,0,0,4,7,1280,0,98102
670000,1650,0,0,4,7,1000,650,98033
670000,1220,0,0,5,7,1220,0,98144
670000,1730,0,0,5,7,970,760,98107
670000,1600,0,1,3,7,990,610,98040
670000,2050,0,3,3,8,1730,320,98116
670000,1800,0,0,3,7,1240,560,98119
670000,3860,0,3,4,8,2660,1200,98034
670000,1710,0,0,3,7,1410,300,98105
670000,2370,0,0,3,8,1660,710,98033
670000,2570,0,0,3,8,2570,0,98008
670000,2290,0,0,3,8,2290,0,98052
670000,2040,0,0,3,8,2040,0,98033
670000,1930,0,0,4,9,1930,0,98008
670000,2860,0,0,5,8,2860,0,98065
670000,3340,0,0,3,8,3340,0,98155
670000,2520,0,1,3,8,2010,510,98008
670000,1500,0,3,3,8,1500,0,98103
670000,2900,0,0,3,8,2900,0,98075
670000,3310,0,2,3,8,2440,870,98136
670500,1590,0,0,3,7,1590,0,98102
670950,1790,0,0,3,8,1790,0,98107
671000,3130,0,0,3,7,1750,1380,98115
671000,1890,0,0,3,9,1200,690,98199
671300,3280,0,0,3,7,3280,0,98053
671500,2160,0,0,5,7,1530,630,98105
671500,2130,0,0,4,8,2130,0,98006
671500,1770,0,0,3,8,1770,0,98103
672000,2440,0,0,4,9,2440,0,98029
672000,2620,0,0,3,7,2620,0,98053
672000,1130,0,0,4,8,1130,0,98117
672000,1220,0,0,4,7,1220,0,98004
672000,1780,0,0,3,8,1080,700,98103
672324,1600,0,0,3,8,1600,0,98105
672500,2400,0,0,4,7,1250,1150,98117
672500,2450,0,0,3,9,2450,0,98074
672500,2650,0,0,3,10,2650,0,98074
672500,1860,0,2,5,8,1020,840,98116
672500,2620,0,0,3,9,2620,0,98075
672500,1580,0,2,4,8,1330,250,98199
672500,3470,0,0,3,9,3470,0,98065
672600,1520,0,0,3,8,1400,120,98116
672800,2740,0,0,3,9,2740,0,98074
673000,2590,0,0,4,8,2590,0,98006
673000,2990,0,0,3,9,2990,0,98166
673000,2580,0,0,3,9,2580,0,98116
673000,2830,0,0,3,8,2830,0,98029
673200,4180,0,0,3,7,4180,0,98053
674000,2110,0,0,4,7,1250,860,98115
674000,2320,0,0,3,9,1930,390,98125
674000,2810,0,0,5,7,1740,1070,98008
674000,1920,0,0,3,9,1920,0,98052
674250,2780,0,0,4,9,2780,0,98072
674600,2610,0,0,3,8,2610,0,98103
674725,2700,0,0,3,9,2700,0,98029
674750,2590,0,0,3,10,2590,0,98075
674950,3510,0,0,3,10,3510,0,98038
674950,2650,0,0,3,8,2230,420,98027
675000,2140,0,0,3,9,2140,0,98107
675000,2900,0,0,3,8,1450,1450,98006
675000,2810,0,0,3,9,2810,0,98074
675000,2690,0,0,3,8,2690,0,98166
675000,1710,0,0,4,8,1120,590,98199
675000,2240,0,0,4,8,1460,780,98033
675000,2550,0,0,4,7,1850,700,98144
675000,2370,0,0,3,8,2370,0,98027
675000,3130,0,0,4,8,1620,1510,98006
675000,1990,0,0,4,8,1990,0,98052
675000,3090,0,0,3,9,3090,0,98092
675000,1010,0,0,5,6,1010,0,98033
675000,1900,0,0,3,8,1140,760,98033
675000,2070,0,2,3,8,1490,580,98136
675000,1660,0,0,3,7,1660,0,98033
675000,1680,0,0,4,8,1680,0,98005
675000,2220,0,1,3,8,1280,940,98125
675000,2560,0,0,4,9,2560,0,98075
675000,2940,0,0,3,9,2940,0,98029
675000,2510,0,0,4,8,2510,0,98112
675000,2440,0,0,4,9,2040,400,98052
675000,2920,0,4,3,9,2920,0,98065
675000,1710,0,0,3,8,1710,0,98116
675000,2990,0,0,3,8,2990,0,98074
675000,2320,0,0,4,8,1380,940,98072
675000,2040,0,0,5,8,1610,430,98052
675000,2610,0,0,3,9,2610,0,98052
675000,2980,0,0,3,10,1820,1160,98052
675000,2670,0,3,5,8,1630,1040,98118
675000,2770,0,0,3,10,2770,0,98177
675000,2460,0,3,5,7,1620,840,98126
675000,2820,0,0,3,8,2820,0,98029
675000,2250,0,0,3,9,2250,0,98052
675000,2140,0,0,3,7,1000,1140,98112
675000,1460,0,2,4,7,980,480,98117
675000,1530,0,0,4,7,1530,0,98103
675000,3320,0,0,3,9,3320,0,98010
675000,1770,0,2,3,8,1770,0,98155
675000,1920,0,0,5,7,960,960,98107
675000,2780,0,0,5,7,1710,1070,98116
675000,3000,0,0,3,9,3000,0,98059
675000,2130,0,0,3,7,1430,700,98102
675000,2300,0,0,3,8,2300,0,98053
675000,2900,0,0,3,8,2900,0,98074
675000,3410,0,0,4,8,1870,1540,98052
675000,2740,0,3,3,8,1370,1370,98146
675000,2420,0,0,3,8,2420,0,98033
675000,2420,0,0,3,8,920,1500,98005
675000,3680,0,0,3,10,3680,0,98074
675000,1240,0,0,4,7,1240,0,98033
675000,2540,0,1,4,9,2540,0,98177
675000,3190,0,2,3,8,2120,1070,98034
675000,930,0,2,3,6,930,0,98006
675000,3370,0,1,4,7,2310,1060,98136
675000,2390,0,0,3,9,2390,0,98074
675000,2260,0,0,3,9,2260,0,98005
675000,2400,0,0,4,7,1200,1200,98107
675000,2760,0,0,4,9,2760,0,98074
675000,1890,0,0,4,7,1670,220,98105
675000,2260,0,0,4,8,1530,730,98008
675000,2740,0,0,3,9,2740,0,98052
675000,2550,0,2,3,8,1880,670,98177
675000,2570,0,0,3,8,2570,0,98075
675000,1780,0,0,4,8,1540,240,98144
675000,1510,0,0,3,8,1510,0,98122
675000,2280,0,0,5,8,1520,760,98105
675000,1720,0,0,3,8,1030,690,98112
675000,1300,0,0,3,8,1100,200,98109
675000,1510,0,0,3,8,1220,290,98109
675000,3200,0,0,3,9,3200,0,98065
675000,2620,0,0,3,9,2620,0,98029
675500,2060,0,0,2,8,1460,600,98005
675750,2770,0,0,3,9,2770,0,98029
675900,2920,0,0,3,9,2920,0,98059
676000,1730,0,0,4,7,1730,0,98199
676000,2680,0,0,3,9,2680,0,98045
676000,2240,0,0,3,7,2240,0,98117
676000,2800,0,0,3,8,2800,0,98074
676101,2270,0,0,3,8,1290,980,98115
676500,1300,0,3,3,8,880,420,98122
